category,yacht,folder_id,url,accessible,error
Парусные катамараны,The Best 60ft,1XWIv2rTzLyP-sm3KeR1L_NuNEKr3Rxuy,https://drive.google.com/drive/folders/1XWIv2rTzLyP-sm3KeR1L_NuNEKr3Rxuy,yes,
Парусные катамараны,The One Leopard 47ft,1De2QDR0G-vulV_ayrxAi0uZhKS3-W-dr,https://drive.google.com/drive/folders/1De2QDR0G-vulV_ayrxAi0uZhKS3-W-dr,yes,
Парусные катамараны,Zero Stealth,1ZDjk84vYqqGLssksl4OaPhu8VRygZfU1,https://drive.google.com/drive/folders/1ZDjk84vYqqGLssksl4OaPhu8VRygZfU1,yes,
Парусные яхты,Amore,0B8woRjxZPP9hUnlvZVRtcVdRQ3c,https://drive.google.com/drive/folders/0B8woRjxZPP9hUnlvZVRtcVdRQ3c,no,Cannot retrieve the folder information from the link. You may need to change the
Парусные яхты,Bavaria 41ft Isabella,1IVQiVK0zBHOEAcs6G9KbM0315bRHix30,https://drive.google.com/drive/folders/1IVQiVK0zBHOEAcs6G9KbM0315bRHix30,yes,
Парусные яхты,Bavaria 46 Isabella,1IVQiVK0zBHOEAcs6G9KbM0315bRHix30,https://drive.google.com/drive/folders/1IVQiVK0zBHOEAcs6G9KbM0315bRHix30,yes,
Парусные яхты,Born Free 86ft,1hGQBN0qGziWCVONhA8846k8ug9iWtNdw,https://drive.google.com/drive/folders/1hGQBN0qGziWCVONhA8846k8ug9iWtNdw,yes,
Парусные яхты,Hanse 430 Le Figuier,1IIN05EHZJNi85-NNTt9iLOkEUdOs-fsQ,https://drive.google.com/drive/folders/1IIN05EHZJNi85-NNTt9iLOkEUdOs-fsQ,yes,
Парусные яхты,Monica 75ft,1Y2UN0LRT4zwzovUvonuFRs6JZuNPIj7f,https://drive.google.com/drive/folders/1Y2UN0LRT4zwzovUvonuFRs6JZuNPIj7f,yes,
Парусные яхты,Sunsail 41ft,1_XKFo_7FtG1r73qnFcEpi5Oef1YO2Lb3,https://drive.google.com/drive/folders/1_XKFo_7FtG1r73qnFcEpi5Oef1YO2Lb3,yes,
Рыбацкие лодки,Di Fish,1QhUHJF6Qcn_dcZkTS4aepvSK55NoqAYU,https://drive.google.com/drive/folders/1QhUHJF6Qcn_dcZkTS4aepvSK55NoqAYU,yes,
Рыбацкие лодки,Fish Eagle 65ft,1XMnQMdirjOQD3h-ldNNTH9llhkhg532g,https://drive.google.com/drive/folders/1XMnQMdirjOQD3h-ldNNTH9llhkhg532g,yes,
Рыбацкие лодки,Marlin,13hAmGvdwOQBXKWnuk_nbGxEw1rRa6z2D,https://drive.google.com/drive/folders/13hAmGvdwOQBXKWnuk_nbGxEw1rRa6z2D,yes,
Рыбацкие лодки,Prapis,1Z3HO42DkElq62eKIYoLZSA381G22jz7o,https://drive.google.com/drive/folders/1Z3HO42DkElq62eKIYoLZSA381G22jz7o,yes,
Рыбацкие лодки,Shaina 55ft,1896mONKnVEM4MrB7P_60uJqVhuyK-krw,https://drive.google.com/drive/folders/1896mONKnVEM4MrB7P_60uJqVhuyK-krw,yes,
Рыбацкие лодки,Solita,1cJ5BTABdzETL9phQ2NB-QBcKKft-mlsW,https://drive.google.com/drive/folders/1cJ5BTABdzETL9phQ2NB-QBcKKft-mlsW,yes,
